% Model,Masterthesis_Linus_PoissonsEqu.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 23 2024, 06:02"
% Dimension,1
% Nodes,301
% Expressions,1
% Description,Line graph
x-coordinate (m),Electric potential
0,1000
3.333333333333333E-5,996.6666666666667
6.666666666666666E-5,993.3333333333335
9.999999999999999E-5,990
1.333333333333333E-4,986.6666666666667
1.6666666666666666E-4,983.3333333333335
1.9999999999999998E-4,980.0000000000002
2.3333333333333333E-4,976.6666666666671
2.666666666666667E-4,973.333333333334
3.0E-4,970.0000000000008
3.3333333333333327E-4,966.6666666666677
3.666666666666666E-4,963.3333333333344
3.9999999999999996E-4,960.0000000000013
4.333333333333333E-4,956.6666666666683
4.6666666666666666E-4,953.3333333333351
5.0E-4,950.000000000002
5.333333333333334E-4,946.6666666666689
5.666666666666667E-4,943.3333333333359
6.0E-4,940.0000000000028
6.333333333333333E-4,936.6666666666699
6.666666666666666E-4,933.3333333333369
6.999999999999999E-4,930.000000000004
7.333333333333332E-4,926.6666666666711
7.666666666666666E-4,923.3333333333383
7.999999999999999E-4,920.0000000000056
8.333333333333333E-4,916.6666666666727
8.666666666666666E-4,913.3333333333399
8.999999999999999E-4,910.0000000000068
9.333333333333332E-4,906.666666666674
9.666666666666665E-4,903.3333333333412
9.999999999999998E-4,900.0000000000084
0.0010333333333333332,896.6666666666756
0.0010666666666666665,893.3333333333427
0.0010999999999999998,890.0000000000099
0.001133333333333333,886.6666666666771
0.0011666666666666663,883.3333333333444
0.0011999999999999997,880.0000000000118
0.001233333333333333,876.6666666666791
0.0012666666666666664,873.3333333333464
0.0012999999999999995,870.0000000000138
0.0013333333333333329,866.6666666666812
0.0013666666666666662,863.3333333333485
0.0013999999999999996,860.0000000000159
0.001433333333333333,856.6666666666832
0.0014666666666666662,853.3333333333507
0.0014999999999999996,850.0000000000181
0.0015333333333333327,846.6666666666854
0.001566666666666666,843.3333333333529
0.0015999999999999994,840.0000000000203
0.0016333333333333328,836.6666666666878
0.0016666666666666663,833.3333333333553
0.0016999999999999995,830.0000000000227
0.0017333333333333328,826.6666666666902
0.0017666666666666662,823.3333333333576
0.0017999999999999995,820.0000000000251
0.0018333333333333326,816.6666666666925
0.0018666666666666662,813.3333333333602
0.0018999999999999993,810.0000000000275
0.0019333333333333325,806.6666666666949
0.001966666666666666,803.3333333333625
0.001999999999999999,800.0000000000299
0.0020333333333333327,796.6666666666973
0.002066666666666666,793.3333333333647
0.0020999999999999994,790.0000000000322
0.0021333333333333326,786.6666666666996
0.002166666666666666,783.3333333333671
0.0021999999999999993,780.0000000000346
0.002233333333333333,776.6666666667019
0.002266666666666666,773.3333333333693
0.002299999999999999,770.0000000000367
0.0023333333333333322,766.6666666667039
0.002366666666666666,763.3333333333715
0.002399999999999999,760.0000000000389
0.0024333333333333325,756.6666666667063
