% Model,Masterthesis_Linus_PoissonsEqu.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 23 2024, 06:17"
% Dimension,1
% Nodes,301
% Expressions,1
% Description,Line graph
x-coordinate (m),Space Charge Density
0,-1.2500000000000002E9
3.333333333333333E-5,-1.2251662962962966E9
6.666666666666666E-5,-1.200663703703704E9
9.999999999999999E-5,-1176490000
1.333333333333333E-4,-1.152642962962963E9
1.6666666666666666E-4,-1.1291203703703706E9
1.9999999999999998E-4,-1.1059200000000002E9
2.3333333333333333E-4,-1.0830396296296296E9
2.666666666666667E-4,-1.060477037037037E9
3.0E-4,-1038230000
3.3333333333333327E-4,-1.0162962962962966E9
3.666666666666666E-4,-9.946737037037036E8
3.9999999999999996E-4,-973360000
4.333333333333333E-4,-9.523529629629631E8
4.6666666666666666E-4,-9.316503703703705E8
5.0E-4,-9.112500000000004E8
5.333333333333334E-4,-8.911496296296295E8
5.666666666666667E-4,-8.713470370370371E8
6.0E-4,-851840000
6.333333333333333E-4,-8.326262962962966E8
6.666666666666666E-4,-8.137037037037036E8
6.999999999999999E-4,-795070000
7.333333333333332E-4,-7.767229629629632E8
7.666666666666666E-4,-7.586603703703706E8
7.999999999999999E-4,-7.408800000000002E8
8.333333333333333E-4,-7.233796296296296E8
8.666666666666666E-4,-7.06157037037037E8
8.999999999999999E-4,-6.892100000000002E8
9.333333333333332E-4,-6.725362962962965E8
9.666666666666665E-4,-6.561337037037035E8
9.999999999999998E-4,-640000000
0.0010333333333333332,-6.24132962962963E8
0.0010666666666666665,-6.085303703703705E8
0.0010999999999999998,-5.931900000000001E8
0.001133333333333333,-5.781096296296299E8
0.0011666666666666663,-5.632870370370371E8
0.0011999999999999997,-5.487200000000002E8
0.001233333333333333,-5.3440629629629654E8
0.0012666666666666664,-5.203437037037039E8
0.0012999999999999995,-5.0653000000000024E8
0.0013333333333333329,-4.929629629629631E8
0.0013666666666666662,-4.7964037037037057E8
0.0013999999999999996,-4.665600000000003E8
0.001433333333333333,-4.5371962962962985E8
0.0014666666666666662,-4.4111703703703713E8
0.0014999999999999996,-4.287500000000002E8
