% Model,Masterthesis_Linus_PoissonsEqu.mph
% Version,COMSOL 6.1.0.357
% Date,"Feb 23 2024, 06:27"
% Dimension,1
% Nodes,301
% Expressions,1
% Description,Line graph
x-coordinate (m),Electric field norm
0,1001.1272218082158
3.333333333333333E-5,1001.091779927694
6.666666666666666E-5,1001.0563380471485
9.999999999999999E-5,1001.0208961665921
1.333333333333333E-4,1000.9854542860558
1.6666666666666666E-4,1000.9500124055048
1.9999999999999998E-4,1000.9146399158853
2.3333333333333333E-4,1000.8834318436275
2.666666666666667E-4,1000.8521543804509
3.0E-4,1000.8208769172634
3.3333333333333327E-4,1000.7895994540886
3.666666666666666E-4,1000.7583219908993
3.9999999999999996E-4,1000.7271110273578
4.333333333333333E-4,1000.6997247549043
4.6666666666666666E-4,1000.6722719828249
5.0E-4,1000.6448192107346
5.333333333333334E-4,1000.6173664386442
5.666666666666667E-4,1000.5899136665539
6.0E-4,1000.5625245027804
6.333333333333333E-4,1000.5386347603289
6.666666666666666E-4,1000.514681409546
6.999999999999999E-4,1000.4907280587577
7.333333333333332E-4,1000.4667747079802
7.666666666666666E-4,1000.442821357181
7.999999999999999E-4,1000.4189287234294
8.333333333333333E-4,1000.3982246975811
8.666666666666666E-4,1000.3774599546978
8.999999999999999E-4,1000.3566952118272
9.333333333333332E-4,1000.3359304689511
9.666666666666665E-4,1000.3151657260605
9.999999999999998E-4,1000.294458808934
0.0010333333333333332,1000.2766441427793
0.0010666666666666665,1000.2587716508697
0.0010999999999999998,1000.2408991589764
0.001133333333333333,1000.2230266670667
0.0011666666666666663,1000.2051541751571
0.0011999999999999997,1000.1873366177351
0.001233333333333333,1000.1721294107829
0.0012666666666666664,1000.156867269352
0.0012999999999999995,1000.141605127923
0.0013333333333333329,1000.1263429864921
0.0013666666666666662,1000.1110808450612
0.0013999999999999996,1000.0958707468271
0.001433333333333333,1000.0830035549607
0.0014666666666666662,1000.0700843199174
0.0014999999999999996,1000.0571650848724
0.0015333333333333327,1000.0442458498292
0.001566666666666666,1000.0313266147859
0.0015999999999999994,1000.0184565316449
0.0016333333333333328,1000.0076763672714
0.0016666666666666663,999.9968470510394
0.0016999999999999995,999.9860177348091
0.0017333333333333328,999.975188418568
0.0017666666666666662,999.9643591023487
0.0017999999999999995,999.9535760466824
0.0018333333333333326,999.9446443785928
0.0018666666666666662,999.9356664499028
0.0018999999999999993,999.9266885212346
0.0019333333333333325,999.9177105925482
0.001966666666666666,999.9087326638837
0.001999999999999999,999.899798104525
0.0020333333333333327,999.8924908579702
0.002066666666666666,999.885140242126
0.0020999999999999994,999.8777896262691
0.0021333333333333326,999.8704390104176
0.002166666666666666,999.8630883945734
0.0021999999999999993,999.8557782567405
0.002233333333333333,999.8498858133989
0.002266666666666666,999.8439528920444
0.002299999999999999,999.838019970688
0.0023333333333333322,999.8320870493262
0.002366666666666666,999.8261541279644
0.002399999999999999,999.8202587933629
0.0024333333333333325,999.8155859913368
0.0024666666666666656,999.8108756025977
0.0024999999999999988,999.8061652138567
0.0025333333333333323,999.8014548251012
0.002566666666666666,999.7967444363603
0.002599999999999999,999.7920687430524
0.0026333333333333326,999.7884348769021
0.0026666666666666657,999.7847663153188
0.0026999999999999993,999.7810977537301
0.0027333333333333324,999.7774291921378
0.0027666666666666655,999.77376063056
0.002799999999999999,999.7701238731242
0.0028333333333333327,999.7673626938267
0.002866666666666666,999.7645697103926
0.002899999999999999,999.7617767269548
0.002933333333333332,999.758983743508
0.002966666666666666,999.7561907600902
0.002999999999999999,999.7534266894982
0.0030333333333333328,999.7513864044777
0.0030666666666666663,999.7493172066097
0.0030999999999999995,999.7472480087381
0.0031333333333333326,999.7451788108519
0.0031666666666666666,999.7431096129876
0.0031999999999999997,999.7410664366689
0.0032333333333333333,999.7396097097917
0.003266666666666667,999.738126961347
0.0033,999.7366442128914
0.003333333333333333,999.7351614644213
0.0033666666666666662,999.7336787159875
